Month,Total Income,Total Expense,Net
2024-01,0,18000,-18000
2024-02,0,22500,-22500
2024-03,0,2017145,-2017145
2024-04,0,387718,-387718
2024-05,0,616604,-616604
2024-06,0,313940,-313940
2024-07,0,306201,-306201
2024-08,0,382319,-382319
2024-09,0,496398,-496398
2024-10,0,410316,-410316
2024-11,0,344672,-344672
2024-12,0,583251,-583251
2025-01,0,336035,-336035
2025-02,0,323293,-323293
2025-03,0,1317739,-1317739
2025-04,0,362362,-362362
2025-05,0,952568,-952568
2025-06,1342466,1705904,-363438
2025-07,146446,1003898,-857452
2025-08,1458947,1402993,55954
2025-09,2896035,1826130,1069905
2025-10,1454502,1769925,-315423
2025-11,1445200,1964209,-519009
2025-12,1452075,3337956,-1885881
2026-01,1561509,2673169,-1111660
2026-02,2350365,3589029,-1238664
2026-03,1488717,3796986,-2308269
2026-04,1751033,3642942,-1891909
2026-05,1938061,3303380,-1365319
2026-06,2315603,4626264,-2310661
2026-07,-3906,755441,-759347
