Expense Head,Amount (FY27 Apr-21Jul),Category
Salary Expense,7198515,Payroll
Rent Expense,1464980,Facilities
Professional Expenses,601112,Professional
Sitting Fees,550000,Board
Travel Expense,369737,Travel
Administration & Maintenance Charges,277046,Admin
Repairs and Maintenance,273891,Facilities
IT and Internet Expenses,204280,Technology
Digital Subscription Exp M/Q/Y,196426,Technology
Depreciation Expense,190221,Non-cash
Gratuity Expenses,180228,Payroll
SEBI/CRA Registration Fee,132882,Regulatory
Data Subscription,121187,Technology
Employer PF Contribution,112590,Payroll
Printing and Stationery,95155,Admin
Electricity expense,73553,Facilities
Office Expense,66035,Admin
Car Parking Charges,48000,Facilities
Meals and Entertainment,42140,Admin
Office Equipment Rent,29825,Facilities
Telephone Expense,17345,Admin
Bank Fees and Charges,15819,Finance
Coffee Machine Rent,7600,Admin
Interest & Damages on Late Payment of PF,7570,Finance
Annual Custody Fee,7401,Finance
EDLI Charges,7189,Payroll
Tender Expense,7000,Business Dev
Postage,6882,Admin
MCA/ROC Compliance Charges,6401,Regulatory
Newspaper and Magazines,3126,Admin
Employer ESI Contribution,2565,Payroll
Other (misc small heads),3900,Misc
